Date,Price
2017-01-01,N/A
2017-01-02,N/A
2017-01-03,N/A
2017-01-04,N/A
2017-01-05,N/A
2017-01-06,"220",
2017-01-07,N/A
2017-01-08,N/A
2017-01-09,"150",
2017-01-10,N/A
2017-01-11,"250",
2017-01-12,"230",
2017-01-13,"450",
2017-01-14,"280",
2017-01-15,N/A
2017-01-16,"160",
2017-01-17,"500",
2017-01-18,"920",
2017-01-19,"840",
2017-01-20,"1,732",
2017-01-21,N/A
2017-01-22,N/A
2017-01-23,"2,114",
2017-01-24,N/A
2017-01-25,"1,388",
2017-01-26,"580",
2017-01-27,N/A
2017-01-28,N/A
2017-01-29,N/A
2017-01-30,N/A
2017-01-31,N/A
2017-02-01,N/A
2017-02-02,"860",
2017-02-03,"570",
2017-02-04,"130",
2017-02-05,N/A
2017-02-06,"60",
2017-02-07,"1,620",
2017-02-08,"120",
2017-02-09,"250",
2017-02-10,"1,828",
2017-02-11,"810",
2017-02-12,N/A
2017-02-13,"3,350",
2017-02-14,"6,645",
2017-02-15,"5,410",
2017-02-16,"7,956",
2017-02-17,"10,223",
2017-02-18,"9,080",
2017-02-19,N/A
2017-02-20,"15,920",
2017-02-21,"13,399",
2017-02-22,"9,600",
2017-02-23,"9,195",
2017-02-24,"11,645",
2017-02-25,"18,863",
2017-02-26,N/A
2017-02-27,"20,060",
2017-02-28,"16,820",
2017-03-01,"19,538",
2017-03-02,"23,195",
2017-03-03,"30,765",
2017-03-04,"34,958",
2017-03-05,N/A
2017-03-06,"37,160",
2017-03-07,"18,589",
2017-03-08,"21,301",
2017-03-09,"15,694",
2017-03-10,"25,013",
2017-03-11,"25,744",
2017-03-12,N/A
2017-03-13,"30,783",
2017-03-14,"27,385",
2017-03-15,"35,665",
2017-03-16,"36,035",
2017-03-17,"39,424",
2017-03-18,N/A
2017-03-19,N/A
2017-03-20,"62,373",
2017-03-21,"42,300",
2017-03-22,"48,788",
2017-03-23,"44,871",
2017-03-24,"51,639",
2017-03-25,"53,395",
2017-03-26,N/A
2017-03-27,"66,335",
2017-03-28,"49,870",
2017-03-29,"45,375",
2017-03-30,"48,905",
2017-03-31,"45,055",
2017-04-01,"56,245",
2017-04-02,N/A
2017-04-03,"92,500",
2017-04-04,"71,114",
2017-04-05,"68,014",
2017-04-06,N/A
2017-04-07,"57,650",
2017-04-08,"71,145",
2017-04-09,N/A
2017-04-10,"90,049",
2017-04-11,"70,919",
2017-04-12,"70,602",
2017-04-13,"85,254",
2017-04-14,"69,020",
2017-04-15,"64,709",
2017-04-16,N/A
2017-04-17,"83,745",
2017-04-18,"72,500",
2017-04-19,"96,535",
2017-04-20,"67,735",
2017-04-21,"86,179",
2017-04-22,"79,542",
2017-04-23,N/A
2017-04-24,"89,575",
2017-04-25,"60,550",
2017-04-26,"69,583",
2017-04-27,"82,628",
2017-04-28,"101,176",
2017-04-29,"101,948",
2017-04-30,N/A
2017-05-01,"123,608",
2017-05-02,"103,472",
2017-05-03,"82,399",
2017-05-04,"85,235",
2017-05-05,"85,660",
2017-05-06,"113,135",
2017-05-07,N/A
2017-05-08,"126,810",
2017-05-09,"75,519",
2017-05-10,"91,312",
2017-05-11,"100,100",
2017-05-12,"101,085",
